cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
0.99,9.77,49.4,107.22,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.8366980719781661
0.99,9.77,49.4,107.22,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9630210583284454
0.99,9.77,49.4,107.22,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
1.43,9.77,71.27,155.22,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
1.87,9.77,93.13,203.23,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
2.3,9.77,115.0,251.23,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.8678052116908518
2.74,9.77,136.87,299.24,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.18,9.77,158.73,347.25,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.19,9.77,158.81,347.15,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.2,9.77,158.89,347.05,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.8118887139488858
3.22,9.77,158.96,346.95,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,159.04,346.86,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9312793434870862
3.24,9.77,159.11,346.76,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,159.09,346.82,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.857886047573779
3.25,9.77,159.07,346.89,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.987901779142037
3.25,9.77,159.05,346.95,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9949866092045346
3.26,9.77,159.03,347.01,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9484350201182281
3.26,9.77,159.01,347.08,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.97,347.06,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.25,9.77,158.92,347.04,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.24,9.77,158.88,347.02,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,158.84,347.0,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,158.8,346.98,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.22,9.77,158.79,347.12,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.9050184036175215
3.22,9.77,158.78,347.26,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.22,9.77,158.77,347.39,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.22,9.77,158.76,347.53,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.22,9.77,158.75,347.67,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.22,9.77,158.69,347.64,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.22,9.77,158.64,347.62,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.22,9.77,158.58,347.59,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.23,9.77,158.53,347.57,0.0,0.0,55.0,255.99,1000.0,1000.0,200.0,200.0,0.8504701200327479
