cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
0.0,9.77,0.0,0.0,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.800867310854418
0.0,9.77,0.0,0.0,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8501351008085761
0.63,9.77,29.55,64.62,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8788210373807145
1.25,9.77,59.09,129.24,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9902795519568796
1.88,9.77,88.64,193.85,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.962703313809926
2.51,9.77,118.18,258.47,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.721688264462368
3.13,9.77,147.73,323.09,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8169625692852507
3.18,9.77,150.03,327.79,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8705082870026192
3.22,9.77,152.32,332.48,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9975310528759121
3.26,9.77,154.62,337.18,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9712066611698519
3.31,9.77,156.92,341.87,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9732016233697732
3.35,9.77,159.22,346.57,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9375229888483282
3.36,9.77,159.23,346.73,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8553265099172138
3.37,9.77,159.24,346.9,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9748594229199724
3.38,9.77,159.24,347.07,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8948349420550703
3.38,9.77,159.25,347.23,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8425873016394883
3.39,9.77,159.26,347.4,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9187088670639139
3.4,9.77,159.12,347.38,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8872468835003935
3.4,9.77,158.97,347.35,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8711108872128509
3.41,9.77,158.83,347.32,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8275531038111991
3.41,9.77,158.69,347.3,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,1.0
3.41,9.77,158.54,347.27,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9639980569361724
3.41,9.77,158.58,347.29,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8292231336929843
3.41,9.77,158.61,347.31,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9298313996210873
3.41,9.77,158.64,347.33,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8832243797117398
3.4,9.77,158.68,347.35,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8475224079653121
3.4,9.77,158.71,347.37,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9932171083631065
3.4,9.77,158.73,347.35,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9264511129021712
3.4,9.77,158.75,347.32,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8552512444960682
3.4,9.77,158.77,347.3,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9440463636563008
3.41,9.77,158.79,347.27,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9927384930724268
3.41,9.77,158.81,347.25,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.7864736971143451
3.41,9.77,158.72,347.43,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.879698538576284
3.41,9.77,158.63,347.62,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9711852948583363
3.41,9.77,158.54,347.8,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.938406551596541
3.4,9.77,158.45,347.99,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8982651383244907
3.4,9.77,158.36,348.18,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.8832243797117398
3.4,9.77,158.46,348.01,0.0,0.0,55.0,251.32,1000.0,1000.0,200.0,200.0,0.9632695498155175
