cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
1.03,9.77,47.53,103.88,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5513254449491578
1.03,9.77,47.53,103.88,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.45309838121661977
1.03,9.77,47.53,103.88,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4010231991929523
1.54,9.77,69.82,152.68,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.528276213728604
2.04,9.77,92.12,201.47,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.2851208937669772
2.55,9.77,114.41,250.26,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5797165510402202
3.05,9.77,136.7,299.05,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5279244989042976
3.56,9.77,159.0,347.85,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.60029984915924
3.56,9.77,158.98,347.74,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5748190404373266
3.56,9.77,158.95,347.64,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5837876355751034
3.56,9.77,158.93,347.54,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5531909714024338
3.56,9.77,158.91,347.43,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.46483443061215496
3.56,9.77,158.89,347.33,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.41091947839248477
3.56,9.77,158.89,347.22,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.541153665892924
3.56,9.77,158.9,347.11,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6391283398088051
3.56,9.77,158.9,347.0,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5622099063378336
3.56,9.77,158.9,346.89,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.529817855696866
3.56,9.77,158.91,346.78,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.31612676208313434
3.57,9.77,158.85,346.9,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5214030123882004
3.57,9.77,158.79,347.02,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.3890559948862012
3.57,9.77,158.73,347.14,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6201263694613302
3.57,9.77,158.67,347.25,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.365730703203269
3.57,9.77,158.6,347.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5790178342905523
3.58,9.77,158.66,347.28,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5036790597276052
3.58,9.77,158.71,347.18,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5711211044260316
3.58,9.77,158.76,347.09,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.416637808230209
3.58,9.77,158.82,346.99,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.46879673750057615
3.58,9.77,158.87,346.9,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.24649144302412668
3.58,9.77,158.86,346.97,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5777477062374763
3.58,9.77,158.86,347.05,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5415521015973745
3.58,9.77,158.85,347.12,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5886862027691251
3.58,9.77,158.84,347.19,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7148175097385742
3.58,9.77,158.84,347.26,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.40938059725586845
3.58,9.77,158.91,347.17,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7910785590714899
3.58,9.77,158.97,347.07,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7396220252233441
3.59,9.77,159.04,346.97,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8316712903009346
3.59,9.77,159.11,346.88,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7888366608791129
3.59,9.77,159.17,346.78,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8519444106477663
3.59,9.77,159.17,346.84,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6360462488298078
3.59,9.77,159.16,346.9,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8029458515491764
3.59,9.77,159.15,346.95,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7783336427576704
3.59,9.77,159.14,347.01,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8319524427091365
3.58,9.77,159.13,347.07,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7257904080380415
3.58,9.77,159.08,347.06,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.14160327067528095
3.57,9.77,159.03,347.05,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6343566140184844
3.57,9.77,158.97,347.04,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5602288040711544
3.56,9.77,158.92,347.03,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.9133829910347822
3.55,9.77,158.87,347.02,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6784774739752816
3.54,9.77,158.85,347.02,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4585050376981309
3.52,9.77,158.83,347.01,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5394786870871835
3.51,9.77,158.81,347.01,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4123024899982441
3.49,9.77,158.79,347.01,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6301193708534518
3.47,9.77,158.76,347.0,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6473112718118145
3.49,9.77,158.79,347.06,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.547360305291681
3.51,9.77,158.82,347.13,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.9360859310885382
3.53,9.77,158.85,347.19,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.40615841936766783
3.54,9.77,158.88,347.26,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5939869081582534
3.56,9.77,158.91,347.32,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.574450125047877
3.55,9.77,158.86,347.28,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4985487006344852
3.54,9.77,158.82,347.24,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5900252183675384
3.54,9.77,158.78,347.2,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.29839355780825694
3.53,9.77,158.73,347.16,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4377873450894223
3.52,9.77,158.69,347.11,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6820993208480084
3.53,9.77,158.83,347.14,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5987003837972554
3.54,9.77,158.98,347.17,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5754240682567007
3.55,9.77,159.12,347.19,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.672808861051934
3.56,9.77,159.26,347.22,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.15604856594849698
3.57,9.77,159.4,347.24,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5229298259099663
3.57,9.77,159.37,347.21,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.627033067816922
3.57,9.77,159.34,347.17,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5868629275300551
3.57,9.77,159.31,347.14,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5775374443423923
3.57,9.77,159.28,347.11,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.48321866751767495
3.56,9.77,159.25,347.07,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.30130808484493327
3.57,9.77,159.21,347.04,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4859944864009544
3.57,9.77,159.18,347.0,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5053500103402017
3.58,9.77,159.14,346.96,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6472944419375367
3.58,9.77,159.11,346.92,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.843187437421241
3.59,9.77,159.07,346.89,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8493669259447972
3.59,9.77,159.12,346.85,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.3079511846394542
3.58,9.77,159.18,346.82,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7289646785993874
3.58,9.77,159.23,346.79,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7475455792432322
3.57,9.77,159.29,346.75,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7731609788548783
3.57,9.77,159.34,346.72,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6061959471776307
3.57,9.77,159.38,346.61,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8148803388645306
3.57,9.77,159.42,346.5,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8445089033860342
3.57,9.77,159.45,346.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8024642285395985
3.57,9.77,159.49,346.28,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8400095652560737
3.57,9.77,159.53,346.17,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7086014785314149
3.57,9.77,159.45,346.36,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4136140443523249
