cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
0.0,9.77,0.0,0.0,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7958090570428309
0.0,9.77,0.0,0.0,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8632473608001989
0.67,9.77,3.82,8.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.9645689127425253
1.33,9.77,7.65,16.7,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7643862918442021
2.0,9.77,11.47,25.05,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.04511980471169271
2.66,9.77,15.3,33.4,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.9837455527227555
3.33,9.77,19.12,41.75,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.980735969385407
3.34,9.77,19.28,42.08,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.9563914339441774
3.36,9.77,19.43,42.4,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.9357564868263869
3.37,9.77,19.59,42.73,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,1.0
3.38,9.77,19.74,43.05,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.9816406249313009
3.4,9.77,19.9,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8798551388531618
3.41,9.77,19.9,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6782576828817934
3.42,9.77,19.9,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7327417195256417
3.43,9.77,19.9,43.36,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.46457419620344736
3.43,9.77,19.9,43.36,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.1498770481509591
3.44,9.77,19.91,43.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7182252790668424
3.45,9.77,19.9,43.36,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.560701836773511
3.45,9.77,19.88,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6141353103200101
3.45,9.77,19.87,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7610577781659272
3.45,9.77,19.86,43.4,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8799589678853389
3.45,9.77,19.85,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6174976599758367
3.46,9.77,19.85,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5444070817127674
3.47,9.77,19.84,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5534145057057693
3.49,9.77,19.84,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6296368842313461
3.5,9.77,19.83,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5578171826180075
3.51,9.77,19.83,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6215120373480667
3.5,9.77,19.85,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.3472799680470461
3.5,9.77,19.88,43.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.3949950680927908
3.5,9.77,19.9,43.32,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6858406272775316
3.49,9.77,19.92,43.28,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.34811235225690085
3.49,9.77,19.95,43.25,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6280773194181496
3.5,9.77,19.92,43.28,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5640186278086332
3.51,9.77,19.89,43.31,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5691302276233462
3.52,9.77,19.86,43.34,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7473123814032632
3.53,9.77,19.83,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5571125471226274
3.54,9.77,19.8,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7166053559681614
3.54,9.77,19.82,43.4,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5976726995714112
3.54,9.77,19.84,43.4,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.45692317931360227
3.54,9.77,19.85,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4871505821985677
3.54,9.77,19.87,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.2019082283322956
3.54,9.77,19.88,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.28441808302635063
3.55,9.77,19.88,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4718302490152919
3.55,9.77,19.88,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5656487366841656
3.55,9.77,19.87,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5625822125155773
3.55,9.77,19.87,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5771610126587452
3.55,9.77,19.87,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8750992241719956
3.56,9.77,19.86,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8153465837516866
3.57,9.77,19.86,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7635520375992276
3.58,9.77,19.86,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8346890656063296
3.58,9.77,19.86,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7834923352027708
3.59,9.77,19.86,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.863580638599945
3.59,9.77,19.86,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8089080720195875
3.58,9.77,19.86,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.24910918117665087
3.58,9.77,19.86,43.43,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.754972465450599
3.57,9.77,19.86,43.45,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.823193492187087
3.57,9.77,19.86,43.47,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8336913742222383
3.56,9.77,19.86,43.45,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6163736035657097
3.56,9.77,19.86,43.44,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5998773867896342
3.56,9.77,19.86,43.42,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6963492141576556
3.55,9.77,19.86,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6683147725773042
3.55,9.77,19.86,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.44723101758919914
3.55,9.77,19.86,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5268075380946659
3.56,9.77,19.85,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5622166528971889
3.56,9.77,19.84,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.1033562004474875
3.56,9.77,19.84,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5877156714430893
3.57,9.77,19.83,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7330817905738835
3.56,9.77,19.84,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5898741912439329
3.55,9.77,19.86,43.36,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5169526472815886
3.54,9.77,19.87,43.34,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4607636763836114
3.54,9.77,19.88,43.33,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5708424653205431
3.53,9.77,19.9,43.31,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6668127547427328
3.54,9.77,19.87,43.34,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5619322432325363
3.54,9.77,19.85,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6737393257008872
3.55,9.77,19.83,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5788580474198907
3.55,9.77,19.8,43.44,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.30624372718322296
3.56,9.77,19.78,43.47,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.28343966509455726
3.56,9.77,19.8,43.44,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.48929191716693965
3.56,9.77,19.83,43.42,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6412370997810629
3.56,9.77,19.85,43.4,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6934390018868583
3.56,9.77,19.87,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5102920857738729
3.56,9.77,19.9,43.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6947438934241166
3.56,9.77,19.89,43.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5442568460916841
3.57,9.77,19.88,43.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6014318801133737
3.57,9.77,19.87,43.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6469579363267707
3.57,9.77,19.87,43.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4501024749641353
3.57,9.77,19.86,43.36,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6077425039276126
3.57,9.77,19.85,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5569409828803632
3.57,9.77,19.84,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6418427134079145
3.57,9.77,19.83,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.19967065395692662
3.57,9.77,19.82,43.43,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5406311638607842
3.57,9.77,19.81,43.45,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6182044815236876
3.57,9.77,19.82,43.44,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7547731790266854
3.57,9.77,19.83,43.43,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7460415375250372
3.57,9.77,19.84,43.43,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.77189712161059
3.57,9.77,19.85,43.42,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7842605340472218
3.57,9.77,19.86,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.9088710991277015
3.57,9.77,19.87,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8173744221983865
3.58,9.77,19.87,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8220664892760573
3.58,9.77,19.87,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8351315680638939
3.59,9.77,19.88,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.8071046026233998
3.59,9.77,19.88,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5909180112790634
3.58,9.77,19.87,43.42,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.2316693822990467
3.57,9.77,19.85,43.42,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7118699775834711
3.56,9.77,19.84,43.42,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6410793748554781
3.54,9.77,19.83,43.43,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6039136831208884
3.53,9.77,19.82,43.43,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7472720276242292
3.54,9.77,19.83,43.43,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.635340629184959
3.54,9.77,19.85,43.42,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4831664827196129
3.55,9.77,19.87,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.643597337988317
3.55,9.77,19.88,43.4,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7317092817407979
3.55,9.77,19.9,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5216689957445091
3.56,9.77,19.9,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6518140220496056
3.56,9.77,19.91,43.36,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6427843448729916
3.57,9.77,19.91,43.34,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.4528112078864933
3.57,9.77,19.92,43.32,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.2128264998281822
3.57,9.77,19.92,43.3,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6733257767274338
3.57,9.77,19.91,43.32,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6070682840095329
3.56,9.77,19.91,43.33,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6127280986070841
3.56,9.77,19.9,43.34,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7126719946290886
3.55,9.77,19.9,43.35,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.6694184021961063
3.55,9.77,19.89,43.36,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5039400330668035
3.55,9.77,19.88,43.37,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5271300429844099
3.56,9.77,19.87,43.38,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.7338563338315928
3.57,9.77,19.87,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5862540798578874
3.57,9.77,19.86,43.4,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.5316690870481514
3.58,9.77,19.85,43.41,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.669138643777571
3.57,9.77,19.86,43.39,0.0,0.0,56.0,255.99,1000.0,1000.0,200.0,200.0,0.22663103055043735
