cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
2.42,9.77,107.9,234.01,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5582267707304973
2.42,9.77,107.9,234.01,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.33645327345499493
2.42,9.77,107.9,234.01,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.545798182875396
2.66,9.77,118.05,256.8,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4049587779076125
2.9,9.77,128.2,279.6,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6927140439100056
3.13,9.77,138.34,302.39,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5009985861285284
3.37,9.77,148.49,325.18,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.39536970096526725
3.61,9.77,158.64,347.97,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.11857353053503804
3.57,9.77,158.76,347.58,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.002147738179774655
3.53,9.77,158.88,347.2,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.0036248875929415247
3.49,9.77,159.0,346.81,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.0013713659391175377
3.45,9.77,159.12,346.43,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.31877683430437725
3.41,9.77,159.23,346.04,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5953903726982696
3.45,9.77,159.17,346.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5603587922317425
3.49,9.77,159.1,346.39,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5642815217387203
3.52,9.77,159.03,346.57,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4765769875993075
3.56,9.77,158.96,346.75,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.49899759643786723
3.6,9.77,158.89,346.92,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5560061075442893
3.6,9.77,158.94,346.96,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5320924641231627
3.6,9.77,158.99,347.0,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7231330853305541
3.6,9.77,159.04,347.04,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5163326761619191
3.59,9.77,159.1,347.07,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6222894131534094
3.59,9.77,159.15,347.11,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7131225456888325
3.6,9.77,159.08,347.15,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.796857031177635
3.61,9.77,159.01,347.2,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8715500377566472
3.61,9.77,158.94,347.24,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7420786827460703
3.62,9.77,158.88,347.28,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7317561126334019
3.63,9.77,158.81,347.33,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.76591965789267
3.62,9.77,158.83,347.31,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8065769287814383
3.62,9.77,158.86,347.28,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8457038836273496
3.61,9.77,158.88,347.26,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7767055173519575
3.61,9.77,158.9,347.24,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.8021288685871819
3.6,9.77,158.93,347.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6137509819230887
3.6,9.77,158.93,347.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5574335363858032
3.6,9.77,158.93,347.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.639314992534001
3.6,9.77,158.93,347.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5495871054767348
3.6,9.77,158.93,347.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5330681509737062
3.6,9.77,158.93,347.22,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4840756900942661
3.6,9.77,158.99,347.11,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5571905483391824
3.6,9.77,159.05,347.01,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.3974246192412799
3.59,9.77,159.1,346.91,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5554526011531152
3.59,9.77,159.16,346.8,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5441665069535887
3.59,9.77,159.22,346.7,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5370983790726315
3.59,9.77,159.13,346.79,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5821494949845771
3.59,9.77,159.04,346.88,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5486316553958357
3.6,9.77,158.95,346.97,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5161540559590441
