cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
0.0,9.77,0.0,0.0,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6049133828765605
0.0,9.77,0.0,0.0,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5101573864443223
0.64,9.77,29.02,63.35,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6430633738235692
1.28,9.77,58.04,126.7,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.3932247294044449
1.93,9.77,87.06,190.05,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5262378406003717
2.57,9.77,116.08,253.4,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4530766330162824
3.21,9.77,145.1,316.75,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5385526583891856
3.27,9.77,148.1,322.65,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.49207605062213117
3.33,9.77,151.09,328.55,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5279804618671662
3.39,9.77,154.09,334.45,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7320854769855082
3.45,9.77,157.09,340.35,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7073045090095706
3.51,9.77,160.08,346.25,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5689424456339628
3.51,9.77,159.81,346.49,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6453735387321715
3.52,9.77,159.55,346.72,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.3611998040271308
3.52,9.77,159.28,346.95,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6417798159040284
3.53,9.77,159.01,347.18,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7779212352246587
3.53,9.77,158.75,347.41,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5038916571457104
3.53,9.77,158.57,347.55,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5747903002038165
3.54,9.77,158.4,347.68,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.49015775044757404
3.54,9.77,158.23,347.82,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.514590417791825
3.54,9.77,158.06,347.96,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6056348695495786
3.55,9.77,157.89,348.09,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.36168558293404524
3.55,9.77,158.06,347.94,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.49627850888305747
3.56,9.77,158.23,347.78,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5153556675924471
3.56,9.77,158.41,347.63,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6206574248928868
3.57,9.77,158.58,347.47,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.677835937779365
3.57,9.77,158.76,347.32,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6556094617612067
3.58,9.77,158.86,347.3,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5778239739682591
3.58,9.77,158.96,347.28,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.41979952629610207
3.59,9.77,159.07,347.27,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5527187479809571
3.6,9.77,159.17,347.25,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6679285982538851
3.6,9.77,159.27,347.23,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5208839535220866
3.6,9.77,159.06,347.39,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5974719152780055
3.6,9.77,158.84,347.55,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.7193696043523565
3.6,9.77,158.62,347.7,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5918275424305791
3.6,9.77,158.41,347.86,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.690208191561855
3.6,9.77,158.19,348.02,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5527541231128199
3.6,9.77,158.28,347.83,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5952105919539734
3.59,9.77,158.36,347.65,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5686125546931159
3.59,9.77,158.45,347.46,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4693427346116981
3.59,9.77,158.54,347.28,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.4927210926587337
3.59,9.77,158.63,347.09,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.3776022069692444
3.59,9.77,158.7,347.05,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.5201905979733047
3.6,9.77,158.78,347.01,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.56853181744283
3.6,9.77,158.85,346.97,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.6023660271018657
3.61,9.77,158.93,346.93,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,0.00020100676374474398
3.61,9.77,159.0,346.89,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,1.0579102129731967e-05
3.56,9.77,158.95,346.72,0.0,0.0,56.0,255.96,1000.0,1000.0,200.0,200.0,1.8684542130186316e-05
