iter	RMSE
0	0.3971733951
1	0.3746367132
2	0.3737819736
3	0.3557870198
4	0.3535638827
5	0.3391632533
6	0.3272181251
7	0.3253151482
8	0.3242483267
9	0.3173493335
10	0.3104113152
11	0.3097364767
12	0.3088470588
13	0.3084752481
14	0.3082184697
15	0.3073007012
16	0.3059856318
17	0.3052467886
18	0.3044065832
19	0.3037922412
20	0.3019366815
21	0.3007354005
22	0.3000174542
23	0.2940477997
24	0.2923931813
25	0.2915574751
26	0.2909370991
27	0.2902684347
28	0.288225322
29	0.2875524989
30	0.2820205419
31	0.2816120549
32	0.2803710507
33	0.2783930022
34	0.2778933936
35	0.2770844496
36	0.2764408262
37	0.2747481609
38	0.2716793899
39	0.2715348905
40	0.2681209818
41	0.2669681649
42	0.2639586043
43	0.2626653754
44	0.2606456463
45	0.2602747256
46	0.2595387737
47	0.2573599906
48	0.2558956336
49	0.254467264
