iter	Passed	Remaining
0	164	8077
1	170	4102
2	176	2772
3	183	2114
4	189	1704
5	192	1413
6	196	1205
7	199	1046
8	201	919
9	204	816
10	206	731
11	208	659
12	210	599
13	212	546
14	214	500
15	216	459
16	218	423
17	220	391
18	222	362
19	223	335
20	226	312
21	227	290
22	229	269
23	231	250
24	233	233
25	235	216
26	236	201
27	239	187
28	241	175
29	243	162
30	245	150
31	247	139
32	249	128
33	251	118
34	252	108
35	255	99
36	257	90
37	259	81
38	261	73
39	262	65
40	264	58
41	266	50
42	268	43
43	270	36
44	273	30
45	275	23
46	277	17
47	278	11
48	280	5
49	282	0
