Timestamp,cpu_usage_x,mem_usage_x,net_in_rate_x,net_out_rate_x,disk_in_rate_x,disk_out_rate_x,cpu_usage_y,mem_usage_y,net_in_rate_y,net_out_rate_y,disk_in_rate_y,disk_out_rate_y,avg_lat
1706414535,0.34,9.77,15.11,33.02,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9670214477148172
1706414536,0.69,9.77,30.22,66.05,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.0687239811698264
1706414537,1.03,9.77,45.33,99.07,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.1348101813755764
1706414538,1.54,9.77,66.59,145.6,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9865565767932698
1706414539,2.04,9.77,87.85,192.14,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.3450960133122145
1706414540,2.55,9.77,109.11,238.67,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9384416447804566
1706414541,3.05,9.77,130.37,285.2,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9865565767932698
1706414542,3.56,9.77,151.63,331.73,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9291039943981869
1706414543,3.56,9.77,151.61,331.63,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9478731401092417
1706414544,3.56,9.77,151.59,331.54,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9384416447804566
1706414545,3.56,9.77,151.57,331.44,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9670214477148172
1706414546,3.56,9.77,151.55,331.34,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.0475618284737775
1706414547,3.56,9.77,151.53,331.24,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.1123394342393382
1706414548,3.56,9.77,151.53,331.14,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9767401748383252
1706414549,3.56,9.77,151.54,331.03,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.8926733056920172
1706414550,3.56,9.77,151.54,330.93,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9573994235419346
1706414551,3.56,9.77,151.54,330.82,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9865565767932698
1706414552,3.56,9.77,151.55,330.72,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.2794949066411827
1706414553,3.57,9.77,151.49,330.83,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9964716352280271
1706414554,3.57,9.77,151.43,330.94,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.1462152133072159
1706414555,3.57,9.77,151.37,331.05,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9107065026731097
1706414556,3.57,9.77,151.31,331.17,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.1811226634389183
1706414557,3.57,9.77,151.26,331.28,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9384416447804566
1706414558,3.58,9.77,151.31,331.19,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.006486341656703
1706414559,3.58,9.77,151.36,331.1,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9478731401092417
1706414560,3.58,9.77,151.41,331.01,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.1123394342393382
1706414561,3.58,9.77,151.46,330.92,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.0475618284737775
1706414562,3.58,9.77,151.51,330.83,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.4426264788497807
1706414563,3.58,9.77,151.51,330.9,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9384416447804566
1706414564,3.58,9.77,151.5,330.97,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9767401748383252
1706414565,3.58,9.77,151.49,331.04,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9291039943981869
1706414566,3.58,9.77,151.49,331.11,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.8491371148405675
1706414567,3.58,9.77,151.48,331.18,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,1.1235186314077525
1706414568,3.58,9.77,151.54,331.08,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.8077242090719897
1706414569,3.58,9.77,151.61,330.99,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.8323230734222502
1706414570,3.59,9.77,151.67,330.9,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.7838523510329137
1706414571,3.59,9.77,151.74,330.81,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.8077242090719897
1706414572,3.59,9.77,151.8,330.72,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.7760528898240308
1706414573,3.59,9.77,151.79,330.77,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.9016448215657986
1706414574,3.59,9.77,151.78,330.83,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.7996872189069016
1706414575,3.59,9.77,151.78,330.88,0.0,0.0,0.0,199.99,1000.0,1000.0,200.0,200.0,0.8158419723310907
