Timestamp,cpu_usage,mem_usage,net_in_rate,net_out_rate,disk_in_rate,disk_out_rate
1706547363,0,8118272,0,0,0,0
1706547368,0,8118272,0,0,0,0
1706547373,0.19086805218577158,983384064,0,0,0,0
1706547378,1.0003994880227143,5028487168,0,0,0,0
1706547383,0.9999457879562745,5028245504,0,0,0,0
1706547388,0.9997859972876953,5028245504,0,0,0,0
1706547393,0.9994303564944683,5028245504,0,0,0,0
1706547398,0.9999988744655479,5028229120,0,0,0,0
1706547403,0.9999968425438311,5028229120,0,0,0,0
1706547408,1.0005998212379386,5028229120,0,0,0,0
1706547413,0.9995793141819596,5028229120,0,0,0,0
1706547418,1.0003695629306233,5028229120,0,0,0,0
1706547423,0.9993242835040537,5028229120,0,0,0,0
1706547428,1.000005338045212,5028229120,0,0,0,0
1706547433,1.0000067756862017,5028229120,0,0,0,0
1706547438,1.0003778559511487,5028229120,0,0,0,0
1706547443,0.999788805355872,5028229120,0,0,0,0
1706547448,0.9997997263939058,5028229120,0,0,0,0
1706547453,1.0005059592549241,5028229120,0,0,0,0
1706547458,0.9997966488131701,5028229120,0,0,0,0
1706547463,1.0000052384714706,5028212736,0,0,0,0
1706547468,0.9998261482016011,5028212736,0,0,0,0
1706547473,1.0000065453228697,5028212736,0,0,0,0
1706547478,0.9998045421979155,5028212736,0,0,0,0
1706547483,1.0000050852601399,5028212736,0,0,0,0
1706547488,1.0001975890985726,5028212736,0,0,0,0
1706547493,0.999765244713827,5029101568,0,0,0,0
1706547498,1.0003353858200883,9062449152,0,0,0,0
1706547503,0.9995681857511746,10047848448,0,0,0,0
1706547508,1.0005020855230693,10047848448,0,0,0,0
1706547513,1.0000066372548817,10047848448,0,0,0,0
1706547518,1.0000065929803577,10047848448,0,0,0,0
1706547523,0.9998545780564684,10047848448,0,0,0,0
1706547528,0.9998026924648411,10047848448,0,0,0,0
1706547533,0.9997539149204419,10047848448,0,0,0,0
1706547538,1.0001724641496605,10047848448,0,0,0,0
1706547543,1.0002501140629783,10047848448,0,0,0,0
1706547548,0.9998292988180717,10047848448,0,0,0,0
1706547553,1.0004506323856333,10047848448,0,0,0,0
1706547558,1.0000065862932503,10047848448,0,0,0,0
1706547563,0.9994745827861417,10047848448,0,0,0,0
1706547568,1.0001892778083787,10047848448,0,0,0,0
1706547573,1.000199255822972,10047848448,0,0,0,0
1706547578,0.9995523765320186,10047848448,0,0,0,0
1706547583,1.000576859342214,10047848448,0,0,0,0
1706547588,0.9996281755380436,10047848448,0,0,0,0
1706547593,0.9997678769376349,10047848448,0,0,0,0
1706547598,1.000006370815971,10047848448,0,0,0,0
1706547603,1.000730280820274,10047848448,0,0,0,0
1706547608,0.9997904128322278,10047848448,0,0,0,0
1706547613,0.9998287009014473,10047848448,0,0,0,0
1706547618,1.0003474523976694,12667977728,0,0,0,0
1706547623,1.000193350425674,15067381760,0,0,0,0
1706547628,0.9997830826445335,15067381760,0,0,0,0
1706547633,0.9994509381367056,15067381760,0,0,0,0
1706547638,1.0010674201168124,15067381760,0,0,0,0
1706547643,0.9998482001890432,15067381760,0,0,0,0
1706547648,0.9994398100093499,15067381760,0,0,0,0
1706547653,1.0009747473378259,15067381760,0,0,0,0
1706547658,0.9993877037343889,15067381760,0,0,0,0
1706547663,1.0001946822201113,15067381760,0,0,0,0
1706547668,1.000357645019361,15067381760,0,0,0,0
1706547673,0.9993185338070021,15067381760,0,0,0,0
1706547678,0.9998038773565876,15067381760,0,0,0,0
1706547683,1.0008691770922782,15067381760,0,0,0,0
1706547688,1.0000059165023405,15067381760,0,0,0,0
1706547693,0.9997822530740396,15067381760,0,0,0,0
1706547698,0.9995655985883235,15067381760,0,0,0,0
1706547703,1.0004043810186687,15067381760,0,0,0,0
1706547708,0.9996486557260452,15067381760,0,0,0,0
1706547713,1.000006442218059,15067381760,0,0,0,0
1706547718,0.9998200754717325,15067381760,0,0,0,0
1706547723,1.0002157589604304,15067381760,0,0,0,0
1706547728,1.0005403619183302,15067381760,0,0,0,0
1706547733,0.9991611574386761,15067381760,0,0,0,0
1706547738,1.000646606394435,15423524864,0,0,0,0
1706547743,0.9998294755585724,20086935552,0,0,0,0
1706547748,1.000003973368427,20086935552,0,0,0,0
1706547753,1.000006520500771,20086935552,0,0,0,0
1706547758,0.9998078004764276,20086935552,0,0,0,0
1706547763,1.0003967549941843,20086935552,0,0,0,0
1706547768,1.0002322919212425,20086935552,0,0,0,0
1706547773,1.0000065468199042,20086935552,0,0,0,0
1706547778,0.9993142283585907,20086935552,0,0,0,0
1706547783,0.9999903784083641,20086927360,0,0,0,0
1706547788,1.000174809694208,20086927360,0,0,0,0
1706547793,1.0004511147018045,20086927360,0,0,0,0
1706547798,0.9994224560726997,20086927360,0,0,0,0
1706547803,0.999144804221384,20086931456,0,0,0,0
1706547808,1.0005564182763806,20086927360,0,0,0,0
1706547813,0.9993018285185242,20086927360,0,0,0,0
1706547818,0.9999826108137306,20086927360,0,0,0,0
1706547823,1.000396862271799,20086927360,0,0,0,0
1706547828,0.999554306653774,20086927360,0,0,0,0
1706547833,0.9994761323999481,20086927360,0,0,0,0
1706547838,0.9998359449081269,20086927360,0,0,0,0
1706547843,0.9997864268058309,20086927360,0,0,0,0
1706547848,1.0001909881392406,20086927360,0,0,0,0
1706547853,1.0001922854349732,20086927360,0,0,0,0
1706547858,0.9993844719101284,20089942016,0,0,0,0
1706547863,1.000522131696846,24241516544,0,0,0,0
1706547868,0.9997845301769751,25106591744,0,0,0,0
1706547873,1.0001817599854206,25106591744,0,0,0,0
1706547878,0.999736406931026,25106591744,0,0,0,0
1706547883,1.0003249749103993,25106591744,0,0,0,0
1706547888,0.9997535417388851,25106591744,0,0,0,0
1706547893,0.9998291241297376,25106591744,0,0,0,0
1706547898,0.9994893827128526,25106591744,0,0,0,0
1706547903,1.000602451236724,25106591744,0,0,0,0
1706547908,1.0001935422603792,25106591744,0,0,0,0
1706547913,0.99936883896705,25106591744,0,0,0,0
1706547918,1.0000005927747726,25106591744,0,0,0,0
1706547923,0.9997139079058244,25106591744,0,0,0,0
1706547928,1.000510410900447,25106591744,0,0,0,0
1706547933,0.9994539386268398,25106591744,0,0,0,0
1706547938,0.9999987702536465,25106591744,0,0,0,0
1706547943,1.000796429369522,25106591744,0,0,0,0
1706547948,0.9995999114228348,25106591744,0,0,0,0
1706547953,0.9997906474239767,25106591744,0,0,0,0
1706547958,1.0001994850731355,25106591744,0,0,0,0
1706547963,1.0001748708932687,25106591744,0,0,0,0
1706547968,1.0000009514237833,25106591744,0,0,0,0
1706547973,0.9995413263735689,25106591744,0,0,0,0
1706547978,0.9997775750733493,25106591744,0,0,0,0
1706547983,1.0005445632226406,27752673280,0,0,0,0
1706547988,0.999442075883732,30126161920,0,0,0,0
1706547993,1.0001981269415097,30126161920,0,0,0,0
1706547998,1.0000062939775016,30126161920,0,0,0,0
1706548003,1.0003870997325375,30126161920,0,0,0,0
1706548008,0.999768522451917,30126161920,0,0,0,0
1706548013,1.000164166325732,30126161920,0,0,0,0
1706548018,1.000005813948288,30126161920,0,0,0,0
1706548023,0.9995444771361973,30126161920,0,0,0,0
1706548028,1.0004104452777345,30126161920,0,0,0,0
1706548033,1.0000064784552765,30126161920,0,0,0,0
1706548038,1.0000066622448383,30126161920,0,0,0,0
1706548043,1.0000062539648202,30126161920,0,0,0,0
1706548048,0.9996469820852636,30126161920,0,0,0,0
1706548053,1.0007199504880173,30126161920,0,0,0,0
1706548058,0.9997948332979482,30126161920,0,0,0,0
1706548063,0.9994439752392226,30126161920,0,0,0,0
1706548068,1.0007232596912574,30126161920,0,0,0,0
1706548073,0.9996258495626437,30126161920,0,0,0,0
1706548078,1.0000058368776024,30126161920,0,0,0,0
1706548083,0.9998288987475722,30126161920,0,0,0,0
1706548088,1.0002007758318292,30126161920,0,0,0,0
1706548093,1.0000068149752066,30126161920,0,0,0,0
1706548098,1.0004028658198303,30126161920,0,0,0,0
1706548103,0.9991840211553713,30915477504,0,0,0,0
1706548108,1.0004169199408892,35145695232,0,0,0,0
1706548113,0.999811576797095,35145695232,0,0,0,0
1706548118,1.0006535363380158,35145695232,0,0,0,0
1706548123,0.9995916244298657,35145695232,0,0,0,0
1706548128,1.0001733743072883,35145695232,0,0,0,0
1706548133,0.9997938911520029,35145695232,0,0,0,0
1706548138,1.0002041004151063,35145695232,0,0,0,0
