Total Memory Size: 230757348000
memory is 10000000000, time_spent is 120.145098 
memory is 20000000000, time_spent is 120.713777 
memory is 30000000000, time_spent is 121.075052 
memory is 40000000000, time_spent is 121.277993 
memory is 50000000000, time_spent is 120.085261 
memory is 60000000000, time_spent is 121.686343 
memory is 70000000000, time_spent is 122.005465 
memory is 80000000000, time_spent is 122.447116 
memory is 90000000000, time_spent is 120.293459 
memory is 100000000000, time_spent is 122.212316 
memory is 110000000000, time_spent is 122.485897 
memory is 120000000000, time_spent is 120.677906 
memory is 130000000000, time_spent is 123.692603 
memory is 140000000000, time_spent is 125.617336 
memory is 150000000000, time_spent is 126.450413 
memory is 160000000000, time_spent is 121.978629 
memory is 170000000000, time_spent is 126.810673 
memory is 180000000000, time_spent is 125.376904 
