1706414707Connecting to host 11.11.11.16, port 5201
1706414708[  5] local 172.17.0.2 port 41796 connected to 11.11.11.16 port 5201
1706414709[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
1706414709[  5]   0.00-1.00   sec  5.98 MBytes  50.2 Mbits/sec    0    175 KBytes       
1706414710[  5]   1.00-2.00   sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414711[  5]   2.00-3.00   sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414712[  5]   3.00-4.00   sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414713[  5]   4.00-5.00   sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414714[  5]   5.00-6.00   sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414715[  5]   6.00-7.00   sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414716[  5]   7.00-8.00   sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414717[  5]   8.00-9.00   sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414718[  5]   9.00-10.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414719[  5]  10.00-11.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414720[  5]  11.00-12.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414721[  5]  12.00-13.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414722[  5]  13.00-14.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414723[  5]  14.00-15.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414724[  5]  15.00-16.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414725[  5]  16.00-17.00  sec  5.88 MBytes  49.3 Mbits/sec    0    175 KBytes       
1706414726[  5]  17.00-18.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
1706414727[  5]  18.00-19.00  sec  6.00 MBytes  50.3 Mbits/sec    0    175 KBytes       
