Timestamp,cpu_usage,mem_usage,net_in_rate,net_out_rate,disk_in_rate,disk_out_rate
1706410440,0.00003673421262989654,40656896,0,0,0,0
1706410445,0.00003446941216666525,40656896,0,0,0,0
1706410450,0.00003968651911478591,40656896,0,0,0,0
1706410455,0.00004425690072540264,40656896,0,0,0,0
1706410460,0.00004425690072540264,40656896,0,0,0,0
1706410465,0.000050581878637203897,40656896,0,0,0,0
1706410470,0.000050581878637203897,40656896,0,0,0,0
1706410475,0.00004853712325510835,40656896,0,0,0,0
1706410480,0.00004853712325510835,40656896,0,0,0,0
1706410485,0.00005359087933592392,40656896,0,0,0,0
1706410490,0.0000497430402572871,40656896,0,0,0,0
1706410495,0.00005382851637666788,40656896,0,0,0,0
1706410500,0.0000482126206731679,40656896,0,0,0,0
1706410505,0.00004481320450890269,40656896,0,0,0,0
1706410510,0.00004481320450890269,40656896,0,0,0,0
1706410515,0.000039402461868080335,40656896,0,0,0,0
1706410520,0.00004895531914859923,40656896,0,0,0,0
1706410525,0.00005647708046481125,40656896,0,0,0,0
1706410530,0.000047016471448828176,40656896,0,0,0,0
1706410535,0.00004904329004370217,40656896,0,0,0,0
1706410540,0.000049554136253717734,40656896,0,0,0,0
1706410545,0.00004846475680096211,40656896,0,0,0,0
1706410550,0.00004846475680096211,40656896,0,0,0,0
1706410555,0.00004506799259984561,40656896,0,0,0,0
1706410560,0.00004452919145279748,40656896,0,0,0,0
1706410565,0.00005869258693120508,40656896,0,0,0,0
1706410570,0.00005869258693120508,40656896,0,0,0,0
1706410575,0.00004714275188841988,40656896,0,0,0,0
1706410580,0.00004346427761318993,40656896,0,0,0,0
1706410585,0.00004739987876429169,40656896,0,0,0,0
1706410590,0.00004739987876429169,40656896,0,0,0,0
1706410595,0.00004621505136281271,40656896,0,0,0,0
1706410600,0.00004499812602384243,40656896,0,0,0,0
1706410605,0.00004499812602384243,40656896,0,0,0,0
1706410610,0.00005399455337606619,40656896,0,0,0,0
1706410615,0.00005399455337606619,40656896,0,0,0,0
1706410620,0.00004595233751411225,40656896,0,0,0,0
1706410625,0.00005152778912957317,40656896,0,0,0,0
1706410630,0.00005152778912957317,40656896,0,0,0,0
1706410635,0.5334175877451737,54231040,0,0,0,5790283.631314008
1706410640,0.16778033070498163,52396032,0,0,0,8389580.705009276
1706410645,0.16254318441106985,52039680,0,0,0,8389977.79229262
1706410650,0.17454582866807597,51916800,0,0,0,8387450.68570355
1706410655,0.17446502658342178,51687424,0,0,0,8388941.285251966
1706410660,0.17129034871995877,51441664,0,0,0,8389014.740108611
1706410665,0.17129034871995877,51441664,0,0,0,8389014.740108611
1706410670,0.15165952258724616,51376128,0,0,0,8388599.589322383
1706410675,0.15165952258724616,51376128,0,0,0,8388599.589322383
1706410680,0.16888637855588198,51359744,0,0,0,8389181.619256016
1706410685,0.16635310086328475,51343360,0,0,0,8390374.394609392
1706410690,0.15928014727090806,51343360,0,0,0,8389417.919670442
1706410695,0.16410860695821614,51310592,0,0,0,8387435.387673955
1706410700,0.17232197388601053,51310592,0,0,0,8387249.7409326425
